Date,Description,Headline,Link,Section
1 day ago,Witnesses tell the BBC the Myanmar army tortured and killed dozens of men in a village in Rakhine State.,"Myanmar soldiers cut off tattoos and gave detainees urine to drink, witnesses tell BBC",https://www.bbc.com//news/articles/ckmm6jep6l7o, Asia
1 day ago,Footage shows rivers of volcanic ash and debris following an ‘explosive eruption’ at Mt Kanlaon.,‘Cold lava’ floods Philippines village after eruption,https://www.bbc.com//news/videos/c3gg5g0z4g6o, Asia
9 hrs ago,Greg Quicke was one of Australia's most famous astronomers and appeared on the BBC's Stargazing Live.,Australia's 'Space Gandalf' astronomer dies aged 62,https://www.bbc.com//news/articles/cl7744p258yo, Australia
1 day ago,"Australia's Glenn Maxwell is dismissed for a golden duck as Oman's Aqib Ilyas makes a ""staggering"" catch at cover during the T20 World Cup.",'A staggering piece of fielding' - Maxwell dismissed for golden duck,https://www.bbc.com//sport/videos/c4nnklpr2dmo, Australia
1 day ago,Australia overcome an early wobble to beat Oman comfortably by 39 runs in their opening match at the T20 World Cup in Barbados.,Australia overcome early wobble in World Cup opener,https://www.bbc.com//sport/cricket/videos/cjjj93qd2n4o, Australia
2 days ago,"Australian researchers were stunned to see the spiky, land-dwelling echidna emerge from a tiger shark.",Shark seen regurgitating echidna in surprising first,https://www.bbc.com//news/articles/cv22qyv54gdo, Australia
2 days ago,The case was seen as a test of Australia's ability to enforce online safety rules on social media giants.,Australia drops case against X over stabbing videos,https://www.bbc.com//news/articles/cv229qm7nepo, Australia
3 days ago,Australia captain Pat Cummins signs for Major League Cricket side San Francisco Unicorns on a deal running from this season until 2027.,Cummins signs for San Francisco Unicorns,https://www.bbc.com//sport/cricket/articles/c7224dv9weeo, Australia
3 days ago,Permanent residents from countries including the UK and US will be eligible to join and get citizenship.,Australian army to allow recruits from foreign nations,https://www.bbc.com//news/articles/cv22v0wg8v3o, Australia
4 days ago,"The fossilised skull of a now extinct flightless bird is a “stunningly rare find”, researchers say.",Prehistoric 'giant goose' skull found in Australia,https://www.bbc.com//news/articles/cy99v7xg45xo, Australia
28 May 2024,Former Australia Test opener Joe Burns will represent Italy in their bid to reach the 2026 T20 World Cup in tribute to his late brother.,Burns to represent Italy in tribute to late brother,https://www.bbc.com//sport/cricket/articles/c1vv42nnngko, Australia
1 hr ago,Nicola Coughlan says she wouldn't return to Derry Girls because it is already 'perfect',Derry Girls 'perfect as it is' - Coughlan,https://www.bbc.com//news/articles/cw44penekwno, Europe
2 hrs ago,"Known for his TV programmes and his Just One Thing podcast which airs on BBC Radio 4, the presenter was last seen on Wednesday.",On the coastal path near where Michael Mosley was last seen,https://www.bbc.com//news/videos/cv22dz0w7k2o, Europe
3 hrs ago,Inland Fisheries Ireland (IFI) said more than 300 fish died after an incident on Wednesday.,Donegal fish kill investigations under way,https://www.bbc.com//news/articles/c1ww3qxpjwqo, Europe
6 hrs ago,Ireland's finances continue to be boosted by a corporation tax windfall.,Irish economy returns to growth,https://www.bbc.com//news/articles/crgg24ded3lo, Europe
7 hrs ago,Gardaí were called to a house in Cork city following reports the dog was attacking residents.,Pit bull terrier shot by Irish police after two injured,https://www.bbc.com//news/articles/cxeelgne83zo, Europe
10 hrs ago,"A total of 949 city and county council seats will be filled, and 14 MEPs will be elected at the polls.",Irish polls open for local and EU elections,https://www.bbc.com//news/articles/cd115jxyv10o, Europe
12 hrs ago,"With the voting age lowered to 16 in some parts of the EU, politicians are targeting the youth vote.",The right could win big in Europe – thanks to young people,https://www.bbc.com//news/articles/cqqq952e3v6o, Europe
17 hrs ago,"As 27 EU countries vote over four days, exit polls suggest a narrow defeat for the Dutch far right.",EU elections start with tight Dutch race - exit poll,https://www.bbc.com//news/articles/c3ggn4exnr0o, Europe
19 hrs ago,"Moscow says the man was gathering military data about Russia and failed to register as a ""foreign agent"".",Russia holds Frenchman accused of military spying,https://www.bbc.com//news/articles/cl44z775j12o, Europe
4 days ago,"Provides an overview of Mexico, including key dates and facts about this north American country.",Mexico country profile,https://www.bbc.com//news/world-latin-america-18095241, Latin America
